order_id,cust_id,room_number,arrival_date,departure_date,cost_per_night,order_total_cost
101,546,101,2022-10-01,2022-11-05,600,2400
102,546,101,2023-02-01,2023-02-05,600,2400
103,321,103,2023-02-15,2023-02-25,600,2400
104,321,103,2023-03-12,2023-03-17,600,2400
201,123,201,2023-01-04,2023-02-07,600,1800
202,546,300,2023-02-11,2023-02-14,600,2400
203,321,302,2023-03-9,2023-03-13,600,1800
204,789,201,2023-03-08,2023-03-20,600,1800
101,321,101,2023-03-25,2023-04-05,600,6600
101,546,301,2023-02-01,2023-02-03,200,400
101,4937,102,2023-02-04,2023-02-05,600,600
101,987,103,2023-07-01,2023-07-07,400,2400
101,987,103,2023-04-01,2023-04-02,400,400
101,324,300,2023-05-01,2023-05-10,400,3600
101,123,301,2023-05-01,2023-05-03,200,400
102,123,200,2023-05-01,2023-05-01,200,0
103,321,302,2023-05-01,2023-05-01,400,0
104,123,301,2023-05-15,2023-05-20,200,1000
105,753,300,2023-03-22,2023-03-22,600,0
106,123,300,2023-03-23,2023-03-24,600,600
107,123,204,2022-12-01,2022-12-31,400,12000
